Datetime,Water Level (m)
2024-07-25 12:00:00,-0.4630841
2024-07-25 13:00:00,-0.4064954
2024-07-25 14:00:00,-0.15083005
2024-07-25 15:00:00,0.2567559
2024-07-25 16:00:00,0.7308981
2024-07-25 17:00:00,1.125926
2024-07-25 18:00:00,1.2810396
2024-07-25 19:00:00,1.2108542
2024-07-25 20:00:00,0.9896507
2024-07-25 21:00:00,0.5680011
2024-07-25 22:00:00,0.110638596
2024-07-25 23:00:00,-0.20327996
2024-07-26 00:00:00,-0.34539685
2024-07-26 01:00:00,-0.29426947
2024-07-26 02:00:00,-0.026569169
2024-07-26 03:00:00,0.35608187
2024-07-26 04:00:00,0.7950238
2024-07-26 05:00:00,1.2134339
2024-07-26 06:00:00,1.4251064
2024-07-26 07:00:00,1.417176
2024-07-26 08:00:00,1.2346318
2024-07-26 09:00:00,0.83899486
2024-07-26 10:00:00,0.34638628
2024-07-26 11:00:00,-0.072463244
2024-07-26 12:00:00,-0.33750993
2024-07-26 13:00:00,-0.42711154
2024-07-26 14:00:00,-0.29173824
2024-07-26 15:00:00,0.02063582
2024-07-26 16:00:00,0.40940523
2024-07-26 17:00:00,0.8273831
2024-07-26 18:00:00,1.1416515
2024-07-26 19:00:00,1.2249316
2024-07-26 20:00:00,1.1715599
2024-07-26 21:00:00,0.93990666
2024-07-26 22:00:00,0.579559
2024-07-26 23:00:00,0.20723037
2024-07-27 00:00:00,-0.035298925
2024-07-27 01:00:00,-0.13581297
2024-07-27 02:00:00,-0.08090892
2024-07-27 03:00:00,0.15807138
2024-07-27 04:00:00,0.50348616
2024-07-27 05:00:00,0.8623624
2024-07-27 06:00:00,1.1610042
2024-07-27 07:00:00,1.3078276
2024-07-27 08:00:00,1.2482159
2024-07-27 09:00:00,1.0468057
2024-07-27 10:00:00,0.68350077
2024-07-27 11:00:00,0.27042422
2024-07-27 12:00:00,-0.07560949
2024-07-27 13:00:00,-0.2758081
2024-07-27 14:00:00,-0.30273858
2024-07-27 15:00:00,-0.16389032
2024-07-27 16:00:00,0.10539078
2024-07-27 17:00:00,0.48328173
2024-07-27 18:00:00,0.83964324
2024-07-27 19:00:00,1.071525
2024-07-27 20:00:00,1.1523458
2024-07-27 21:00:00,1.1007918
2024-07-27 22:00:00,0.8775161
2024-07-27 23:00:00,0.5700499
2024-07-28 00:00:00,0.26599774
2024-07-28 01:00:00,0.04381192
2024-07-28 02:00:00,-0.044867016
2024-07-28 03:00:00,0.01580339
2024-07-28 04:00:00,0.2134581
2024-07-28 05:00:00,0.48937246
2024-07-28 06:00:00,0.7974164
2024-07-28 07:00:00,1.031404
2024-07-28 08:00:00,1.1021903
2024-07-28 09:00:00,1.0464613
2024-07-28 10:00:00,0.8612227
2024-07-28 11:00:00,0.5539776
2024-07-28 12:00:00,0.21742216
2024-07-28 13:00:00,-0.044181474
2024-07-28 14:00:00,-0.19542935
2024-07-28 15:00:00,-0.2142498
2024-07-28 16:00:00,-0.08218235
2024-07-28 17:00:00,0.15788929
2024-07-28 18:00:00,0.47357073
2024-07-28 19:00:00,0.7926161
2024-07-28 20:00:00,0.99686843
2024-07-28 21:00:00,1.0793687
2024-07-28 22:00:00,1.0556982
2024-07-28 23:00:00,0.8898676
2024-07-29 00:00:00,0.6426572
2024-07-29 01:00:00,0.39433983
2024-07-29 02:00:00,0.20277424
2024-07-29 03:00:00,0.1006799
2024-07-29 04:00:00,0.12739624
2024-07-29 05:00:00,0.25282052
2024-07-29 06:00:00,0.45599633
2024-07-29 07:00:00,0.6860759
2024-07-29 08:00:00,0.85450643
2024-07-29 09:00:00,0.9128299
2024-07-29 10:00:00,0.8791908
2024-07-29 11:00:00,0.73455787
2024-07-29 12:00:00,0.50601655
2024-07-29 13:00:00,0.23938821
2024-07-29 14:00:00,0.01382102
2024-07-29 15:00:00,-0.12286355
2024-07-29 16:00:00,-0.15026067
2024-07-29 17:00:00,-0.051207498
2024-07-29 18:00:00,0.14592084
2024-07-29 19:00:00,0.41240433
2024-07-29 20:00:00,0.6902117
2024-07-29 21:00:00,0.9049099
2024-07-29 22:00:00,1.0162338
2024-07-29 23:00:00,1.0228636
2024-07-30 00:00:00,0.92199594
2024-07-30 01:00:00,0.7224151
2024-07-30 02:00:00,0.4964601
2024-07-30 03:00:00,0.30078864
2024-07-30 04:00:00,0.17563361
2024-07-30 05:00:00,0.14104904
2024-07-30 06:00:00,0.20233601
2024-07-30 07:00:00,0.3404214
2024-07-30 08:00:00,0.5079422
2024-07-30 09:00:00,0.65901023
2024-07-30 10:00:00,0.75260144
2024-07-30 11:00:00,0.7608736
2024-07-30 12:00:00,0.68051326
2024-07-30 13:00:00,0.51229453
2024-07-30 14:00:00,0.2873431
2024-07-30 15:00:00,0.0625098
2024-07-30 16:00:00,-0.07587917
2024-07-30 17:00:00,-0.122194245
2024-07-30 18:00:00,-0.06645044
2024-07-30 19:00:00,0.09597052
2024-07-30 20:00:00,0.35446647
2024-07-30 21:00:00,0.63267523
2024-07-30 22:00:00,0.86501116
2024-07-30 23:00:00,1.0140737
2024-07-31 00:00:00,1.0632617
2024-07-31 01:00:00,1.0019546
2024-07-31 02:00:00,0.82264113
2024-07-31 03:00:00,0.59335774
2024-07-31 04:00:00,0.36865827
2024-07-31 05:00:00,0.19327575
2024-07-31 06:00:00,0.105529286
2024-07-31 07:00:00,0.10632167
2024-07-31 08:00:00,0.21064033
2024-07-31 09:00:00,0.37678483
2024-07-31 10:00:00,0.5493092
2024-07-31 11:00:00,0.6799517
2024-07-31 12:00:00,0.736542
